Name,Date,Rating,Title,Content
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Miss Joanna Singleton,2025-03-21T15:27:23.000Z,5,Amazing gym!,"Amazing gym, great facilities and the classes are fantastic! Friendly team always happy to help! Highly recommend."
Martin Shadbolt,2025-03-21T14:58:21.000Z,5,Wandsworth PureGym,"Friendly helpful staff, plenty of equipment and space to work out."
SW,2025-03-21T14:48:13.000Z,5,It was clear what I was signing up to,"It was clear what I was signing up to, the add-on options were clearly presented without feeling you were being pushed into buying more and the app is great and was easy to set up using the pin that was emailed to me straight away. Looking forward to getting fit with PureGym!"
Nicholas Jones,2025-03-21T14:11:14.000Z,5,Most people likes going out jogging for the day.,I'm happy to be there at the gym
Adam White,2025-03-21T14:06:22.000Z,5,Impressed that PureGym replied to my…,Impressed that PureGym replied to my enquiry for membership and sorted everything out easily and straightforward
customer,2025-03-21T14:00:57.000Z,2,Wrong membership i click for multi site…,Wrong membership i click for multi site access but have only been signed up for a core membership
max5115,2025-03-21T13:05:41.000Z,5,it was easy,"it was easy, no gliches"
Ben Moore,2025-03-21T12:58:42.000Z,5,Easy peasy,I used the day pass as I was only visiting the area. Once I saw the QR code it was straight forward. Easy peasy
S J C,2025-03-21T12:52:34.000Z,2,Getting a day pass was simple and…,Getting a day pass was simple and effective. Entering the gym was straightforward.I had a small travel bag and was told I couldn’t take it into the gym. I didn’t have a lock so couldn’t put it away so had to leave without getting a workout. As a visitor to Belfast I had my passport and bank cards with me so couldn’t leave it unattended.So my positive experience became a negative one. Be aware of this. I won’t use the gym again because of this if I’m visiting so I wasted money.
Sudhir,2025-03-21T11:41:51.000Z,5,It has become more crowded with some of…,It has become more crowded with some of the equipments while some are just one so it is difficult to get to use.
Mr & Mrs Healey,2025-03-21T10:11:57.000Z,5,Great friendly atmosphere,"Great friendly atmosphere, trainer very good motivator."
Ryutaro Okazaki,2025-03-21T09:43:51.000Z,2,It’s a great gym but users’ manners…,It’s a great gym but users’ manners (especially young users not putting away equipment after use etc) and cleanliness of the site (bathroom and bars and dumbbells especially) awfully managed.
Elizabeth Holt,2025-03-21T08:22:05.000Z,2,Clunky,"Clunky. I have been a member for a year, but when I have renewed my student membership, it has not linked my accounts, so I have not been able to go to the gym this morning. I also had to pay the ‘joining fee’, despite not being a new member — ridiculous."
customer,2025-03-21T04:32:33.000Z,5,I was invited to pure gym by a friend…,I was invited to pure gym by a friend and I like how there’s variety of equipments to help develop. And also how clean and tidy the gym looks and how there’s tissues to use to clean up after yourself and also the fountain.
customer_,2025-03-21T03:50:33.000Z,3,Quite difficult to open the doors…,"Quite difficult to open the doors (always ask for pin) I understand that you have App with QR but why not just make it a bit more easy, also no hot water in shower room. It was not busy but I always was in search of weights that I need. Nobody doing 45kg but a lot of people need 10,12 and 8… it really needs otherwise it’s just waste of time In total all of this was not so bad) Thank you for opportunity to try))"
Dominic Gordon,2025-03-21T02:16:22.000Z,3,Many of the cardio machines have been…,"Many of the cardio machines have been removed in favour of more weight lifting types of machines, as an avid cardio enthusiast this decision has been detrimental to my gym experience and consequently I’m considering leaving."
customer,2025-03-21T00:38:20.000Z,5,Outstanding Set up,Outstanding Set up
Lucy,2025-03-21T00:01:17.000Z,5,Thoroughly enjoy the classes.,"I have loved joining and attending the classes, which has really helped me through a challenging time in my life. I really enjoy the 45 mins GLC with Pira Coren on a Tuesday, great variety and challenging at the same time."
Mr Tomasz Jezyk,2025-03-20T22:53:05.000Z,4,good experience,good experience
Sanaa Khosla,2025-03-20T22:02:46.000Z,5,Good gym,Good gym! Friendly atmosphere and staff
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Matthew Brown,2025-03-20T21:24:59.000Z,1,Too many people in there,"Too many people in there, couldn't do a proper workout as everything was in use"
Mr William Colledge,2025-03-20T21:23:07.000Z,5,Just joined online was easy to follow…,Just joined online was easy to follow got sorted no problem and fast
Mr John Briggs,2025-03-20T14:16:45.000Z,5,Really good gym and equipment,Equipment and speed to access equipment was exemplary. My only fault was the lack of sanitation spray for hands.
Sarah Wager,2025-03-20T12:50:45.000Z,5,Great customer service,Initially gave a one star due to a payment issue. This was resolved and explained quickly. Thank you!
customer,2025-03-20T12:39:17.000Z,1,ive been going to the same gym for some…,ive been going to the same gym for some years now.i dont care if i missed a payment. I cant keep paying a joining fee to a gym ive been going to all this time.absolutely stupid..
BeardedLegend,2025-03-20T12:00:12.000Z,5,easy to do and done in 2 mins,easy to do and done in 2 mins
John,2025-03-20T11:50:26.000Z,5,Quick and easy,Very easy to join
Lyn Hards,2025-03-20T11:32:25.000Z,1,2 buddy apps not allowed,"It is very difficult to set up if you are going to gym with 2 separate people as a gym buddy ,cannot have 2 purgym apps on phone at some time"
customer,2025-03-20T10:19:25.000Z,1,Worst gym ever,"Probably has to be one of the worst gyms I’ve been to. There’s not a lot of equipment, very packed in together, no atmosphere and equipment is very cheap and not built for purpose."
Terry Joslin,2025-03-20T10:16:46.000Z,5,Good place to have a workout can get…,Good place to have a workout can get busy but all good place's do
Mrs Catherine Stewart,2025-03-20T09:58:04.000Z,5,Excellent clean gym with a really large…,Excellent clean gym with a really large array of different exercise machines and staff always on hand to help good changing facilities and excellent value for money
Winifred Mary,2025-03-20T09:55:12.000Z,1,PLEASE PUT ROLLER BLINDS UP IN FRONT OF…,"PLEASE PUT ROLLER BLINDS UP IN FRONT OF THE TREADMILLS, the sun is so bright in the morning the treadmills are basically empty as the sun shines straight into your eyes and it gets super hot."
Clare McKechnie,2025-03-20T09:51:15.000Z,5,Loads of good quality equipment,Loads of good quality equipment. Everything is clean and tidy.(Rutherglen)
Val Johnston,2025-03-20T09:06:34.000Z,5,Easy join up no messing about plus…,Easy join up no messing about plus always like gyms easy to cancel as somtimes things happen  so good for flexibility
Ms Stopford,2025-03-20T08:48:24.000Z,5,Very easy to rejoin,Very easy to rejoin.  I was impressed by the range of membership types available - and the monthly price is very good value for money.
Farooq Mohammed,2025-03-20T07:45:54.000Z,3,Mediocre,Gyms ok average
Leanne Drant,2025-03-20T05:10:02.000Z,5,"Great atmosphere,super friendly.",Great atmosphere. Friendly staff. Had a session with a PT and was absolutely lovely and very helpful. Made the right gym choice.
Vikesh T,2025-03-20T01:40:22.000Z,5,New Gym New Equipment,N/A
Graham F,2025-03-20T01:01:00.000Z,2,Shocking customer service experience,"Shocking customer service experience. I was locked out of my usual gym, which I had been attending for about 3 years.Response via the app was that the gym wasn't in my bracket.Eventually - and I mean eventually - I did get a response on the virtual chat page and managed to get agreement that they would reinstate access to my usual gym. That gym then showed on my app of available gyms. A few days later, I went to the gym and I was still locked out. Even the gym manager wasn't able to propose a better way to contact customer services. After another 36 hours I got another response and resulted in an upgrade to my membership. Not tried out any access at the gym yet..."
David Armitage,2025-03-20T01:00:17.000Z,5,"Amazing gym, especially for the price","Amazing gym, especially for the price! The number one difference to the other branded gym I had used for many years is the quality of staff. Superb! Well done all @Pure;)"
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
adina,2025-03-19T23:50:39.000Z,5,mostly as my espectations,N/A
owen bateman,2025-03-19T23:38:28.000Z,4,Efficient great set up for 24 hour gym,"Efficient, great price, easy to use and good equipment selection, not too crowded."
Christopher Carleton,2025-03-19T23:36:15.000Z,3,Joining experience wasn’t great,"Joining experience wasn’t great, as tried to join the plus membership by paying a one off payment in full, but app wouldn’t allow me to do so and kept pushing me to join the basic one gym access membership. Which obviously wasn’t what I wanted but paying in full wouldn’t allow me to get the plus membership"
customer,2025-03-19T23:06:53.000Z,5,Easy process,N/A
Alison Holmes,2025-03-19T23:01:07.000Z,1,Really disappointed,"Really disappointed! Pure gym Kirkby. Wanted to push my fitness further and thought getting a personal trainer through the gym would be reliable and legit. Unfortunately I was set up with a personal trainer who repeatedly cancelled on me with a couple hours notice, took days to reply to me. Set me up on an app and program I had to pay extra for but took weeks to give me access. Now currently refusing to refund me or carry out my outstanding sessions. Managers tell me there’s nothing they can do/will do to help me. Would struggle to trust a PT again now I’ve been robbed of £90."
Christine Bailey,2025-03-19T22:33:16.000Z,5,Love the puregym openedat alfreton,"Love the puregym openedat alfreton, great parking and the gym classes are really great. Never had to wait for any equipment either. Overall very happy can't recommend it enough"
Mohammad Najafi,2025-03-19T21:23:44.000Z,4,Ask your colleagues to be more polite,N/A
colin meads,2025-03-19T20:57:16.000Z,4,Pleasant & clean,Pleasant staffClean and abundant equipment
andrew Willoughby,2025-03-19T20:56:29.000Z,5,As someone with Parkinson’s the Pure…,As someone with Parkinson’s the Pure Gym offer is invaluable to keep the symptoms at bay. The membership process was easy and the gym is clean and full of a wide variety of kit
customer,2025-03-19T20:41:29.000Z,5,Great clean atmosphere with lots of…,Great clean atmosphere with lots of equipment
Tina Whelan,2025-03-19T20:09:34.000Z,4,It’s good value for money,It’s good value for money
customer,2025-03-19T19:31:41.000Z,1,misinformation,I bought a day pass but the pin didn't work and I couldn't get a refund
customer,2025-03-19T19:27:15.000Z,5,Easy and simple also cheap,Easy and simple also cheap
